"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","924.111737024933","931.5067146702","934.015105532563","879.750863579721","869.584522198749","879.866016084206","1114.83240132176","898.701753874313","939.093151430928","948.87527719011","1071.23597781156","1109.94735857048","934.09359728428","1172.2352037196","1145.85620625925","1152.63659451514","1210.78774870782","1204.16697246497","1163.24194212466","1249.28295303131","1424.37335896266","1174.40141916625","1011.53045791681","955.822902331468","1128.29461508912","1131.54761824297","1115.32965358281","1175.47809657344","1289.92909438278","1251.49053367813","1219.21293817832","904.200467213832","1259.08314370256","1156.53145230904","1025.91734605461","1266.61396309277","1127.27004999434","1144.43663517567","1194.4695282228","1292.87154366264","1262.44816628487","1264.69162869925","1150.17664726413","1296.29916803565","1173.85486541931","1296.39882577905","1324.80676668571","1348.04024989905","1425.67546029085","1553.393335431","1492.89098967707","1653.47224836087","1539.11147394672","1653.29581276937","1639.94386972544","1510.04271128901","1771.17582816425","1737.64345754504","1727.18153065616","1864.02845935817","1923.42231168138","1841.85848775724","","",
"Afghanistan","AFG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1115.1","1079","985.8","1082.8","1098.9","1012.3","1224.5","1287.5","1310.4","1105.1","976.2","1006.9","1279.6","1301.9","1316.4","1362.4","1224","1291.9","1323.7","1349","1338.3","1330.2","1355.6","1334.1","1331.7","1314","1359.8","1285.7","1237.6","1200.6","1160.4","1097.8","1132.9","1140.4","1214.5","1204.4","1348.8","1388","1285.7","806.3","1006.7","1669.8","1458","1334.8","1790.4","1551.7","1915.3","1455.4","2040.7","2011.1","1659.9","2094.2","2127.7","2096.6","2206.4","2043.3","2091.4","2253.2","2184.7","2050.8","2099.1","2193.4","2295.4","",
"Africa Western and Central","AFW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","675.35481551441","702.24445589708","698.032525671718","691.134187251496","658.343442379971","643.872507614384","684.305250773169","666.783772840426","654.672297468817","691.007034334832","692.217957714029","639.250116264092","643.44296178791","829.809827074454","818.881204221624","691.397061306785","744.443095744951","777.074923953923","788.769830164126","806.51835384263","947.038375772686","928.13878169238","884.168967757578","879.971652157499","958.694722293144","950.656788493824","944.714112891064","1005.191079178","964.3806306642","875.010967556294","918.357546389196","907.554929258853","929.006295276044","902.472682952072","962.06412776744","987.261549355648","966.867304653931","998.388345750742","1032.25459490529","971.647859333508","1002.02220502993","1011.13597344413","1075.39626795252","1089.59008698587","1143.40993130963","1180.59459694968","1107.17267674854","1231.79974637876","1192.11635920244","1184.28883872261","1061.26749960238","1187.66208308418","1113.23227175217","1226.52274059071","1268.25418624382","1311.27370011136","1289.93369270314","1344.82613051624","1369.21827674214","1368.25679474563","1323.35277110564","1395.06759687225","","",
"Angola","AGO","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","828","830.3","798.4","875.8","932","824.3","814.6","805.7","898.9","911.3","805.7","780.3","764","712.6","773.9","775.5","603.1","667.1","509.2","617.9","451.1","450.6","484.6","466","449.1","379.8","381.2","332.4","277.4","320.9","417.5","397.1","268","298.4","401.5","653.1","567.4","701.6","620.4","564.4","585.4","627.2","646.1","491.7","583.4","445.9","464.3","652.7","571.4","629.3","662.4","552.6","814.5","888.6","982.3","852.3","809.2","948.3","961.1","984.8","996.1","1033","1061.8","",
"Albania","ALB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","845.2","941.8","982.3","1023.3","1037.3","1318.6","1464.1","1553.7","1639.8","1646.1","1753.6","1768.7","1843","1934.5","2028.9","2445.1","2550.1","2620.2","2634.8","2364","2500.6","2715.2","3046","2966.3","2900.6","2990.3","2965.6","2875","2961.7","2794.4","2071.9","2158.6","2685","2460.9","2841.5","2450.9","2833.3","2872.1","2798.1","3175.1","3030.8","3291.9","3185.7","3466.3","3462.1","3602.6","3728.4","4081.2","4315.3","4761.8","4750.7","4883.8","4949.8","4892.6","4873.8","4716.4","4813","4840.5","5038.2","5209.2","5144.7","5200.7","5169.9","",
"Andorra","AND","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","795.715635250419","1106.09259262994","1040.10037401624","976.833042201282","1012.95642400998","881.717723693157","1008.4279453601","1194.5409278293","1085.3429850402","1001.91768025699","1117.82302759775","1207.27926950581","924.022245330892","1081.60218779662","1073.75583010571","1138.33741048321","904.757169764057","1067.3853760578","989.389420599359","1156.73687880956","1072.6268240474","1106.80703234941","1010.10535659496","982.475502718525","1156.06164426613","1278.7067042821","1183.27572474377","1417.62510854418","1236.15381966165","1419.12539840114","1531.20157122395","1348.10521829294","1397.26645893083","1476.54361640875","1362.68258258903","1639.82537672827","1367.03247170999","1475.79763788454","1466.25521708005","1438.34206656825","1584.34969185948","1766.03462007097","1789.31266932493","1935.33075584578","1524.66239973341","1916.06675021838","1680.99495843751","1702.60196291414","1959.48360869298","1733.85340728937","1866.54924022255","2033.24400943817","1967.89454798127","1798.64359801575","2166.2371642852","1702.39413557419","1884.12089253531","1796.06855755294","1948.41518669519","1864.67057949534","1957.92238972674","1910.16546182985","","",
"United Arab Emirates","ARE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","1166.7","1466.7","2242.9","2409.6","2018.7","2000","1417.8","1613.4","1340.2","1185.7","1106.3","808.3","1924.7","4361.2","3494.1","4368.3","4164.7","6414.5","6474","6502.1","15894","17746.3","17165.8","17504.7","17476.9","18064.6","20927.8","20373.6","20215.2","20900.8","21428.6","22265.9","24716.6","18069.8","24064.3","12112.2","36761.9","14238.4","35291.3","33396.5","30801.8","20853.3","23842.3","18982.7","19809.2","20369.8","23306.5","",
"Argentina","ARG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1410.7","1604.9","1511.2","1695.4","1403.2","1557","1606.4","1313.3","1554.7","1775.3","1783.5","1609.5","2041.4","2046.2","1955.9","1907.2","2134.9","2424.3","2252.2","1874.1","2425","2442.8","2330.1","2581.5","2439.5","2582.2","2382.6","2527.9","2129.4","2250.8","2433.1","2928.6","3054.5","2759.8","2900.2","2715.1","3010.7","3812","3335.6","3461.8","3398.6","3275.7","3308.7","3658.8","4075.8","3707.6","4294","4116.5","3249.3","4876.2","4596.3","4162.4","4795.6","4827.3","4779.1","5203.4","5404.6","4671.2","5474.6","5164.3","5193","5070","3811.8","",
"Armenia","ARM","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1842.8","1688.9","1439.9","1859","1877.2","1365.8","1768.4","1776.5","1383","1878.7","2204.7","1567.1","2280.8","1938.7","1323.9","2592.6","2405","2250.3","2068.2","2789","2650.5","3072.5","3181.6","3132.1","3076.1","1975.1","2623.6","1690.6","2055.8","1287.2","2185.8","2369.2","",
"American Samoa","ASM","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","2500","2250","2500","2250","2400","2285.7","2300","2000","2055.6","1875","1821.4","1666.7","1750","1920","1705.9","1800","1787.9","1789.5","1705.9","1900","1904.8","1920","2035.7","2142.9","2381","1833.3","1713.6","1690.1","1668.4","1607.1","1639","1634.2","1631.8","1631.7","1600","1614.9","1562.5","1571.4","1578.9","1597.4","1625","1601.4","1619","1590.2","1585.9","1597.4","1595.3","1593.1","1583","1579.6","1843.2","2030.7","2233.9","1988.8","2064.5","2077.8","2040.8","2060.6","",
"Australia","AUS","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1083.9","1217.3","1285.2","1323.7","983.5","1441.6","830.8","1338.7","1114.9","1217.6","1269.6","933.1","1318.5","1393.6","1414","1345.5","987.5","1680.2","1510.2","1052.3","1401.5","875.6","1646.2","1609.3","1453.1","1521.9","1436","1629.4","1676.4","1716.1","1691","1666.2","1833.1","2015.1","1270","1873.5","2175.2","1928.7","1992.3","2107.3","1959.6","2197.5","1020.7","2116.4","1694.6","2111.7","981.3","1332.7","1651.4","1661.5","2097.5","2231.6","1936.1","2137.9","2027.3","2075.2","2674.2","2035.6","1769","1650.5","2547.9","2880.6","3230.7","",
